AACHEN,Aachen
ABHLJN,Abbeyhill Junction
ABHL811,Abbeyhill Signal E811
ABHLTB,Abbeyhill Turnback Sidings
ABWDARJ,Abbey Wood Alsike Road Junction
ABWDXR,Abbey Wood Crossrail
ABWDXRS,Abbey Wood Crossrail Siding
ABWDER,Abbey Wood Engineering Road
ABTSWDJ,Abbotswood Junction
ABTS654,Abbotswood Junction Signal BA7654
ABER,Aber
ABARASQ,Aberaeron (Alban Square)
ABRBEG,Aberbeeg
ABCWM,Abercwmboi
ABCWMPI,Abercwmboi Phum/Plant Inlet
ABCWMPO,Abercwmboi Phum/Plant Outlet
ABRCYNS,Abercynon
ABRCYNN,Abercynon North
ABRC187,Abercynon Signal A187
ABRCNSB,Abercynon Signal Box
ABRCYNS,Abercynon South
ABDARE,Aberdare
ABDADS,Aberdare Diesel Sidings
ABDAPEN,Aberdare Penywaun (by bus)
ABDARAR,Aberdare Platform 2
ABDATRE,Aberdare Trecynon (by bus)
ABRDEEN,Aberdeen
ABRDCH,Aberdeen Clayhills Carriage Maintenance Depot
ABRDFDS,Aberdeen Ferryhill Down Sidings
ABRDFGL,Aberdeen Ferryhill Goods Loop
ABRDFJN,Aberdeen Ferryhill Junction
ABRDFTT,"Aberdeen Ferryhill ""TT"""
ABRDFUS,Aberdeen Ferryhill Up Sidings
ABRDNDS,Aberdeen Guild Street DRS
ABRDNGS,Aberdeen Guild Street Freight Depot
ABRDGBR,Aberdeen Guild Street GB Railfreight
ABRDNHS,Aberdeen Holding Sidings
ABRDRSL,Aberdeen JG Russell
ABRDKTB,Aberdeen Kittybrewster
ABRDNS,Aberdeen North Siding
ABRDPDK,Aberdeen Parcels Dock
ABRDSVC,Aberdeen Service Co (Aberdeen Guild Street)
ABRD15,Aberdeen Signal A15
ABRD27,Aberdeen Signal A27
ABRD55,Aberdeen Signal A55
ABRD56,Aberdeen Signal A56
ABRD75,Aberdeen Signal A75
ABRD77,Aberdeen Signal A77
ABRD222,Aberdeen Signal A222
ABRD223,Aberdeen Signal A223
ABRD229,Aberdeen Signal A229
ABRD230,Aberdeen Signal A230
ABRDWAT,Aberdeen Waterloo
ABRDWCR,Aberdeen Waterloo Colas
ABRDWGB,Aberdeen Waterloo GB Railfreight
ABDO,Aberdour
ABDVY,Aberdovey
ABRE,Abererch
ABRFRWD,Aberffrwd
ABRGVNY,Abergavenny
ABRGPGN,Abergavenny Penpergwyn
ABRGS38,Abergavenny Signal AY38
